dateTime,usUnits,interval,barometer,pressure,altimeter,inTemp,outTemp,inHumidity,outHumidity,windSpeed,windDir,windGust,windGustDir,rainRate,rain,dewpoint,windchill,heatindex,ET,radiation
1415489880,1,1,29.776,28.4930374173,29.7262684287,75.6,46.4,31,86,0,,0,,0,0,42.4433676076,46.4,46.4,0,0
1415489940,1,1,29.777,28.4939943302,29.727258991,75.6,46.4,31,86,0,,0,,0,0,42.4433676076,46.4,46.4,0,0
1415490000,1,1,29.776,28.4930374173,29.7262684287,75.6,46.4,31,86,0,,0,,0,0,42.4433676076,46.4,46.4,0,0
1415490060,1,1,29.776,28.4930374173,29.7262684287,75.6,46.4,31,86,0,,0,,0,0,42.4433676076,46.4,46.4,0,0
1415490120,1,1,29.776,28.4930374173,29.7262684287,75.6,46.4,31,86,0,,0,,0,0,42.4433676076,46.4,46.4,0,0
1415490180,1,1,29.775,28.4920805045,29.7252778662,75.6,46.4,31,86,0,,1,67.5,0,0,42.4433676076,46.4,46.4,0,0
1415490240,1,1,29.777,28.4939943302,29.727258991,75.6,46.4,31,86,0,,1,67.5,0,0,42.4433676076,46.4,46.4,0,0
1415490300,1,1,29.775,28.4921365496,29.7253358821,75.6,46.4,31,87,0,,1,67.5,0,0,42.7441429586,46.4,46.4,0,0
1415490360,1,1,29.774,28.4911796349,29.7243453174,75.6,46.4,31,87,0,,1,67.5,0,0,42.7441429586,46.4,46.4,0,0
1415490420,1,1,29.775,28.4920805045,29.7252778662,75.6,46.4,31,86,0,,0,,0,0,42.4433676076,46.4,46.4,0,0
1415490480,1,1,29.774,28.4911235916,29.7242873034,75.6,46.4,31,86,1,67.5,1,67.5,0,0,42.4433676076,46.4,46.4,0,0
1415490540,1,1,29.774,28.4911418116,29.7243061642,75.6,46.5,31,86,1,67.5,2,67.5,0,0,42.5415861339,46.5,46.5,0,0
1415490600,1,1,29.773,28.4901848982,29.7233156006,75.6,46.5,31,86,2,67.5,2,67.5,0,0,42.5415861339,46.5,46.5,0,0
1415490660,1,1,29.772,28.4892279847,29.7223250367,75.6,46.5,31,86,1,67.5,2,67.5,0,0,42.5415861339,46.5,46.5,0,0
1415490720,1,1,29.771,28.4882710712,29.7213344727,75.6,46.5,31,86,0,,1,67.5,0,0,42.5415861339,46.5,46.5,0,0
1415490780,1,1,29.773,28.4909774507,29.7241360234,75.6,46.6,31,86,1,67.5,1,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415490840,1,1,29.772,28.4900205106,29.7231454322,75.6,46.6,31,86,1,67.5,2,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415490900,1,1,29.772,28.4900205106,29.7231454322,75.6,46.6,31,86,0,,0,,0,0,42.6398042627,46.6,46.6,0,0
1415490960,1,1,29.771,28.4890635705,29.7221548408,75.6,46.6,30,86,0,,1,67.5,0,0,42.6398042627,46.6,46.6,0,0
